title,slug,abstract
Data Security and Storage Hardening in Rook and Ceph,fosdem-2024-2045-data-security-and-storage-hardening-in-rook-and-ceph,"<p>We explore the security model exposed by Rook with Ceph, the leading software-defined storage platform of the Open Source world. Digging increasingly deeper in the stack, we examine options for hardening Ceph storage that are appropriate for a variety of threat profiles.</p>"
CephFS at CERN in view of Disaster Recovery,fosdem-2024-3298-cephfs-at-cern-in-view-of-disaster-recovery,"<p>CERN operates multiple Ceph clusters for the provisioning of block, object, and file storage for the IT infrastructure of the Organization. CephFS at CERN (~11PB) serves the shared filesystems in HPC use cases and as well as a storage persistency layer in the Kubernetes and OpenShift offerings. In the past year we evaluated the usage of CephFS in the context of our Business Continuity and Disaster Recovery strategy. This talk looks at CephFS at CERN, the feature stability/perfomance impact observed when enabling features like snapshots, and the future outlook. We will also report on the increasing need for backups and on the development efforts of an OpenStack Manila driver to provide users with a self-service restic-based backup solution for CephFS</p>"
CERN's Open Source Storage Systems,fosdem-2024-3235-cern-s-open-source-storage-systems,"<p>CERN (European Organization for Nuclear Research) is one of the world's largest and most respected centres for scientific research. It is home to the world's largest particle accelerator (<a href=""https://www.home.cern/science/accelerators/large-hadron-collider"">Large Hadron Collider, LHC</a>) and is the birthplace of the <a href=""https://www.home.cern/science/computing/birth-web"">Web</a>.</p>
<p>CERN's Storage and Data Management Group is responsible for enabling data storage and access for the CERN laboratory, in particular the long-term archival, preservation and distribution of LHC data to a worldwide scientific community (<a href=""https://wlcg.web.cern.ch/"">WLCG</a>). Today we operate  heterogeneous disk and tape software defined storage systems, with several large <a href=""https://eos-web.web.cern.ch/eos-web/"">EOS</a> disk farms, the <a href=""https://cta.web.cern.ch/cta/"">CERN Tape Archive (CTA)</a> system and other storage solutions. In total the group manages more than one exabyte of storage across about 2,000 data servers (60,000 disks) and 50,000 high-capacity tapes and orchestrates more than 4 exabytes of data transfers every year.  More than 30,000 users need to access these data from their computers in a user-friendly way, which has been made possible through the <a href=""https://cernbox.web.cern.ch/cernbox/"">CERNBox</a> project, CERN's open source cloud sync and share platform. The group also operates a large Ceph cluster (over 60 petabytes)  mostly to support the CERN OpenStack Cloud Computing infrastructure.</p>
<p>All of these systems are open source and available for use and hosting on-premise.</p>
<p>In this talk we would like to give you a high level view of the following technologies and how they work together to satisfy the storage needs of the organisation: from the early phases of data taking, to its distribution and final end-user analysis.</p>
<p>EOS provides a service for storing large amounts of physics data and user files (accounting today for more than 1 exabyte), with a focus on interactive and batch analysis with multi-protocol support (WebDAV, HTTP, FUSE, CIFS). It supports different authentication protocols (KRB5, X509, OIDC). </p>
<p>CTA (CERN Tape Archive) is the archival storage system for the custodial copy of all physics data at CERN. The CTA software provides a free and open source platform for managing data on magnetic tapes at scale.</p>
<p>CERNBox is the CERN cloud storage platform that provides sync and share functionality on top of the EOS and Ceph storage systems. It is built on top of the ownCloud open source product and the Reva project.</p>
<p>All of these systems are open source and available for use and are deployed in other laboratories around the world.</p>"
Deploying a hyper-converged infrastructure with Ceph across the Cloud-Edge Continuum,fosdem-2024-2974-deploying-a-hyper-converged-infrastructure-with-ceph-across-the-cloud-edge-continuum,"<p>The cloud-edge continuum encompasses a diverse range of infrastructures with varying sizes, performance levels, energy consumption profiles, and resource constraints. Within edge nodes, constrained resources may require the use of hyperconverged storage solutions. OpenNebula has recently integrated Ceph as the foundational SDS solution for these edge deployments. This innovation enables the dynamic deployment of nodes through orchestrated infrastructure provisioning (based on Terraform), autoconfiguration of Ceph and virtualization subsystems (through Ansible), and cloud-edge management (using OpenNebula). This presentation discusses the seamless integration of these components to automate edge location management and to provision additional edge nodes in multi-provider edge cloud environments, highlighting the effectiveness of Ceph as an edge storage solution and showcasing a live technical demonstration of this innovative open source model.</p>"
SMB for Linux with SMB3 POSIX extensions,fosdem-2024-1851-smb-for-linux-with-smb3-posix-extensions,"<p>While NFS is the canonical file protocol to mount remote file servers under Linux, BSDs and other Unix-like operating systems, SMB is the equivalent in the Windows world. Both NFS and SMB offer basically the same service: Remote access to files and directories. The Linux kernel has the ability to mount SMB shares from Samba and from Windows, but special Linux semantics is not properly covered. With the now deprecated SMB1 protocol there have been Unix extensions to make SMB1 a proper alternative to NFS.</p>
<p>For a couple of years now, work is going on to extend the current SMB3 protocol to make it a proper alternative to NFS with all semantics that Linux clients expect. This talk will present the current status and where we are with respect to SMB3 POSIX extensions.</p>"
Exploring Samba on various File Systems: Bridging ideas and enthusiasts together,fosdem-2024-2036-exploring-samba-on-various-file-systems-bridging-ideas-and-enthusiasts-together,"<p>Are you curious about how files from different operating systems talk to each other? </p>
<p><a href=""https://www.samba.org"">Samba</a> is like a magic translator for computers that speak different file-sharing languages. It's a software that helps different types of operating systems, like Windows and Linux to talk to each other and share files and even printers!</p>
<p>Lets explore about Samba and its integration within the Samba in <a href=""https://github.com/samba-in-kubernetes/sit-environment"">SIT Environment</a>. This session illuminates a defined path for enthusiasts looking to dig deeper by introducing a hassle free integration of samba on various file systems like XFS, GlusterFS, CephFS etc. 
You can even see us demonstrating it!</p>
<p>Through the lens of <a href=""https://github.com/samba-in-kubernetes/sit-test-cases/"">SIT Test Cases</a>, housed on GitHub, we'll explore tangible insights gained from experimenting with Samba across different file systems.</p>
<p>Join us as we unravel the possibilities. Try using Samba on your favorite file system. Contribute to Samba Integration Testing(SIT) environment and SIT Test Cases and help in making Samba best compliant on your favorite filesystems.</p>"
"Advances in Garage, the low-tech storage platform for geo-distributed clusters",fosdem-2024-3009-advances-in-garage-the-low-tech-storage-platform-for-geo-distributed-clusters,"<p>Garage is a self-contained, low-tech storage system for building geo-distributed storage clusters. Garage is developped by Deuxfleurs, an experimental self-hosting collective.</p>
<p>Garage targets primarily home-grown clusters composed of second-hand commodity hardware, spread over multiple physical locations for redundancy. Garage is built from scratch to tolerate slow nodes, high latency between nodes and temporary network failures or node crashes while still providing satisfactory quality of service.</p>
<p>Since our last talk at FOSDEM 2022, Garage has matured significantly, with a v1.0 release on the horizon. This talk will cover major changes in recent Garage versions and present our findings on the best practices for deploying and scaling storage clusters.</p>"
MicroCeph: Get Ceph Up and Running in Minutes,fosdem-2024-3416-microceph-get-ceph-up-and-running-in-minutes,"<p>Deploying Ceph can be a complex and time-consuming task that often requires specific expertise and troubleshooting skills. MicroCeph aims to make installing and operating Ceph an effortless and quick process. Get up and running with a single-node MicroCeph installation in minutes for your testing, development, learning, and proof of concept needs! Due to it's self-contained nature, MicroCeph is a great choice wherever you need repeatable installs and ease of operation, such as edge clouds, labs or remote sites -- situations where typically there won't be a team of trained experts at hand round the clock.</p>
<p>The talk will cover:</p>
<ul>
<li>
<p>Why MicroCeph.</p>
</li>
<li>
<p>Design and internals.</p>
</li>
<li>
<p>Use cases and demos:</p>
</li>
<li>
<p>Scaling from 1 node to dozens.</p>
</li>
<li>
<p>Providing S3 storage for development.</p>
</li>
<li>
<p>Integration into Github workflows with a custom action.</p>
</li>
<li>
<p>Providing cephfs via MicroCeph.</p>
</li>
</ul>
<p>Source can be found <a href=""https://github.com/canonical/microceph"">on github</a>, latest docs are <a href=""https://canonical-microceph.readthedocs-hosted.com/en/latest"">here</a></p>"
Container Storage Interface Addons: Extending CSI specification to provide advanced storage operations,fosdem-2024-3006-container-storage-interface-addons-extending-csi-specification-to-provide-advanced-storage-operations,"<p>The aim of this session is to discuss about Container Storage Interface , its specification and
details on additional advanced operations provided by CSI-Addons.
<a href=""https://github.com/container-storage-interface/spec"">CSI specification</a> defines an interface along with the minimum operational and packaging recommendations for a storage provider (SP) to implement a CSI compatible plugin.
The CSI-Addons project hosts extensions to the CSI specification to provide advanced storage operations. By adding new procedures to the <a href=""https://github.com/csi-addons/spec"">CSI-Addons Specification</a>, additional operations for storage systems can be provided. The reference implementation is done on Kubernetes, and maintained in the <a href=""https://github.com/csi-addons/kubernetes-csi-addons"">Kubernetes CSI-Addons</a> repository. Some of the advanced storage operations that are currently supported are reclaim space, network fence and volume replication.</p>"
The best `case` scenario,fosdem-2024-2293-the-best-case-scenario,"<p>With the arrival of pattern matching, Ruby's case got even sexier than it already was. Let's take a look at how it works, test its limits and look at some interesting pattern matching use cases</p>"
A front-end journey back to Rails,fosdem-2024-2273-a-front-end-journey-back-to-rails,"<p>After many years of building UIs with React, I've come home to Ruby on Rails to be amazed how much had changed, and how it now empowers engineers to build amazing front-ends with Turbo &amp; Hotwire. 
Join me as I unpack my bags, rediscover the magic that first hooked me a decade ago, and convert all the lessons and practices I've learned in my time abroad so you can leverage them in your Rails application.</p>"
Besides Web: a Worker story.,fosdem-2024-2182-besides-web-a-worker-story-,"<p>A vast majority of the ruby experience revolves around Web applications. During this talk, I'll tell the story of writing a non-web microservice, consuming messages from a queue for processing zip uploads. It heavily relies on dry-rb gems constellation, a useful but sometimes opaque set of tools.</p>"
The world of Passkeys,fosdem-2024-1729-the-world-of-passkeys,"<p>Can you recall a world without having to remember passwords? If Passkeys becomes widely available, that world is a few steps away in our future. Instead of remembering passwords, we will use our biometrics, already available in our phones, laptops, and desktops, and public key encryption! To a future with no passwords!</p>"
"Get your Data prod ready, Fast, with Ruby Polars!",fosdem-2024-2239-get-your-data-prod-ready-fast-with-ruby-polars-,"<p>Imagine you receive a CSV of data that has over 500,000 rows and 100 columns. Data is randomly missing in some places, some of the column names are wrong, and you have mixed Data types in some of the columns.  Correcting and cleaning that data by hand could take hours. Fear not! There is a better and faster way.  We will look into using Ruby Polars, a gem written in Rust with a Ruby API, to wrangle and clean tabular data to get it prod ready. By learning some basic operations used in Polars you can greatly expedite the import process of CSV files and API Data. Whether your goal is to use the Data in an existing application or use it in a Ruby AI/Machine learning project(since cleaning Data is a vital first step in this process), this talk will get you well on your way!</p>
<p>Link to polars ruby: https://github.com/ankane/polars-ruby</p>
<p>Link to my repo I created for the talk: https://github.com/paulreece/polars_resources/blob/main/README.md</p>"
Backtracie and the quest for prettier Ruby backtraces,fosdem-2024-2473-backtracie-and-the-quest-for-prettier-ruby-backtraces,"<p>A backtrace is one of those Ruby features that is extremely useful, but we never think about it.
They're just always there in our time of need -- be it when an error happens, when exploring our code inside a irb or a debugger, or even when profiling our app.
In this talk, I’ll do a deep dive of how Ruby backtraces work inside the Ruby VM. If you’ve ever been curious about how this part of the Ruby VM works, this talk is for you!
I’ll then show how I’ve used this knowledge to build the <code>backtracie</code> gem. The <a href=""https://github.com/ivoanjo/backtracie""><code>backtracie</code> gem</a> is an experimentation ground for creating prettier backtraces; during this talk I will discuss the extra information it can provide, and in what cases it may be useful.
Finally, I’ll show how you can start using <code>backtracie</code> in your Ruby apps, today!</p>"
"Deploy Your Next Ruby App with WebAssembly (Wasm): Smaller, Safer, Faster",fosdem-2024-2770-deploy-your-next-ruby-app-with-webassembly-wasm-smaller-safer-faster,"<p>In this talk, we'll focus on the unique advantages of using WebAssembly (Wasm) for deploying Ruby applications (yes, on the server). Moving beyond traditional deployment methods, Wasm offers a groundbreaking approach that promises smaller, faster, and more secure server applications. We'll explore how Ruby can run in server-side Wasm environments, emphasizing the performance, security, and architectural innovations it brings.</p>
<p>Overview:</p>
<p>Introduction to WebAssembly: Briefly introducing Wasm, particularly its relevance and benefits for server-side deployment.</p>
<p>Ruby and Wasm - How: Exploring how Ruby applications can be efficiently deployed on servers using Wasm, leading to more compact and faster server applications than traditional deployments with VMs or Containers.</p>
<p>Enhanced Performance and Security: Highlighting the improved startup times and robust security features that Wasm brings to Ruby server applications.</p>
<p>Server-Side Innovation with Wasm: Looking deeper into how Wasm is transforming server-side programming, offering new possibilities in server architecture and performance.</p>
<p>Practical Examples: Referencing projects like <a href=""https://github.com/ruby/ruby.wasm"">WebAssembly/Ruby</a>, <a href=""https://github.com/artichoke/artichoke"">Artichoke/Ruby</a>, and, my own oss project,  <a href=""https://github.com/dphilla/wasm-vfs"">wasm-vfs</a>, that demonstrate the practical applications of Ruby and Wasm on the server side.</p>
<p>Target Audience:</p>
<p>Server-side developers, Ruby enthusiasts, and IT professionals interested in innovative deployment and infrastructure technologies.</p>
<p>This session will provide a focused look at how WebAssembly is reshaping the landscape of server-side application deployment, particularly for Ruby, by offering a more efficient, secure, and innovative approach compared to traditional methods.</p>"
Heterogeneous Computing - One ISA - Many Applications,fosdem-2024-2937-heterogeneous-computing-one-isa-many-applications,<p>TODO:</p>
Cologne Chip GateMate FPGA -- filling a gap between hardware and software (with a presentation of the GMM-7550 module),fosdem-2024-2107-cologne-chip-gatemate-fpga-filling-a-gap-between-hardware-and-software-with-a-presentation-of-the-gmm-7550-module-,"<p>A unique feature of the GateMate FPGA architecture is its provision for [partial] self-reconfiguration, i.e. the possibility to change the running configuration of the chip from inside, without affecting the operation of the other parts of the chip. </p>
<p>Presentation of GMM-7550 -- the open hardware module, based on the CologneChip GateMate FPGA.</p>
<p>The hardware part of the project consists of:
* the FPGA module
* a small adapter board to host the module on Raspberry-Pi 40-pin GPIO header
* an RP2040 USB adapter board
* a memory extension module (SRAM and SPI)</p>
<p>All the hardware was designed with KiCAD and released under CERN-OHL-P license. </p>
<p>The project also provides control software and design examples. GateMate FPGA designs are synthesized using the Yosys framework, optionally with the GHDL plugin. Control software and design examples are released under MIT license.</p>"
Cryptographic Algorithm Vectorization for Mortals,fosdem-2024-2219-cryptographic-algorithm-vectorization-for-mortals,"<p>Cryptographic algorithms are the most critical software that enabled secure computing in the digital age, but they are computationally difficult. We demonstrate how SVP64, a ""hardware for-loop"", massively accelerates cryptographic algorithms.</p>"
Linux Distribution Porting for Architecture Subsets,fosdem-2024-2221-linux-distribution-porting-for-architecture-subsets,<p>Designing a new microprocessor comes with the chicken-and-egg question of software availability and the obligatory cross-compilation headaches. We showcase how that can be made unnecessary when using a subset of a proven architecture.</p>
Verilog-AMS in Gnucap,fosdem-2024-3560-verilog-ams-in-gnucap,"<p>Verilog-AMS is a standardised modelling language widely used in analog and mixed-signal design, but without an open reference implementation. Gnucap is a modular mixed-signal circuit simulator that partially implements Verilog-AMS, that aspires to eventually implement the complete language. In 2023, with NLnet support, we made significant progress in support for Verilog-AMS, the ""analog"" part, also known as Verilog-A, both on the simulator side and in the model compiler. For 2024, we will extend the work, concentrating on three tasks. The first is extensions to modelgen, the model compiler, essentially completing the analog part of Verilog-AMS, with some digital. The second task is enhancements to the simulator, mostly related to fast simulation of large mixed circuits, with both analog and digital parts. The first and second tasks are related to the ""mixed-signal"" aspect of Verilog-AMS. The third task addresses interoperability with other software, including schematic entry and layout, ability for Gnucap to use device models from other simulators, for modelgen to generate code to be used with other simulators, and porting some analysis commands.</p>"
Advanced Simple-V: Data-dependent Fail-First,fosdem-2024-2561-advanced-simple-v-data-dependent-fail-first,"<p>Simple-V is a RISC-uniform loop subsystem that at its heart is similar to x86 REP. Advanced features are more like Z80 CPIR and LDIR. It turns out that basic software for/while loops with conditional exit fit very well with Simple-V, including single and double linked-list walking, null-terminated string copy, and many others. This talk therefore goes through a sequence of algorithms showing dramatic 50x reduction in code size compared to SIMD assembler, whilst still retaining the hardware-level parallelism that SIMD is supposed to be the world lead at. examples include strncpy, positional popcount, FORTRAN MAXLOC, and even small in-register sorting algorithms (such as insertion sort).</p>"
FOSS CAD/EDA tools supporting the open access PDK initiative,fosdem-2024-2361-foss-cad-eda-tools-supporting-the-open-access-pdk-initiative,"<p>The semiconductor industry has been evolving and innovating for the past 75 years, ever since the first semiconductor transistor was invented. This rapid growth is driven by the direct and proactive contribution of the FOSS CAD/EDA to the entire technology flow: from state-of-the-art semiconductor technologies, device level compact/SPICE modeling, its Verilog-A standardization to advanced IC designs for various HiTech applications. However, the semiconductor industry also faces many challenges in maintaining the growth of its workforce with skilled technicians and engineers. To address the increasing need for well-trained workers worldwide, we need to find innovative ways to attract skilled talent and strengthen the local semiconductor workforce ecosystem. The FOSS CAD/EDA tools with the recently available open access PDKs provide a new platform to connect IC design beginners, enthusiasts and experienced mentors to benefit from the collaboration opportunities enabled by the fast-growing open-source IC design movement. FOSS IC design collaboration is increasingly possible due to the rapid growth of open access PDKs recently offered by SkyWater, GF and IHP. This paper demonstrates the FOSS CAD/EDA contribution to the SPICE/Verilog-A modeling/standardization, compete IC design flow (Xschem, Qucs-S, ngspice, Xyce, OpenVAF, OpenEMS, Magic, kLayout, OpenRoad) as well as selected open source analog/RF and digital IC design examples.</p>"
An introduction to Formal Verification of Digital Circuits,fosdem-2024-2215-an-introduction-to-formal-verification-of-digital-circuits,"<p>Formal verification, or formal correctness proofs, are powerful tools when designing your FPGA or ASIC ""gateware"". They help finding bugs sometimes missed in simulation, triggered by corner cases you didn't think to check. This talk will give a little background on how they work, the available ecosystem of tools, show some small examples on how to use them, and some practical results from real-life usage.</p>"
Using the ECP5 for Libre-SOC prototyping,fosdem-2024-2060-using-the-ecp5-for-libre-soc-prototyping,"<p>The <a href=""https://libre-soc.org/"">Libre-SOC</a> project has been prototyped using an Lattice ECP5 FPGA before
its first <a href=""https://libre-soc.org/180nm_Oct2020"">tapeout</a>. Since then many things have changed. One big change is the use of a different controller for DDR3 called <a href=""https://git.libre-soc.org/?p=gram.git"">gram</a>.
To get DDR3 working on the OrangeCrab many changes are needed.</p>
<p>This talk will provide an overview on my work on Libre-SOC in the past two years,
an overview of DDR SDRAM interfaces and the PHYs commonly found on FPGAs and some
ways to debug the OrangeCrab using a <a href=""https://www.crowdsupply.com/qwerty-embedded-design/beaglewire"">BeagleWire</a>.</p>"
Writing a consistent-hashing Loadbalancer for the Kong API gateway (ketama principle),fosdem-2024-1936-writing-a-consistent-hashing-loadbalancer-for-the-kong-api-gateway-ketama-principle-,"<p>During this talk Thijs Schreijer will first explain what the ketama principle is, how it works and how it compares to other basic algorithms. Then he will explain how it was implemented on top of the DNS client in the Kong API gateway, and what was learned doing so.</p>
<p>The implementation is now part of the <a href=""https://github.com/Kong/kong/tree/master/kong/runloop/balancer"">Kong API Gateway</a>. The <a href=""https://github.com/kong/lua-resty-dns-client"">old repository</a> (before it was integrated in the mono-repo) is available as well, and <a href=""https://luarocks.org/modules/kong/lua-resty-dns-client"">is available through the LuaRocks package manager</a>.</p>"
DNS for I2P: Distributed Network without Central Authority,fosdem-2024-3056-dns-for-i2p-distributed-network-without-central-authority,"<p>A fully distributed network does not have - by definition - a central authority. Nevertheless overlay networks, like I2P (""Invisible Internet Project"") do have the need for a DNS. Also, by definition, there is nothing like trust between peers of such a network. Typically such a problem might be solved using a distributed storage layer driven by a byzantine fault tolerant consensus algorithm.</p>
<p>After the first prototype in 2022 (presented at FOSDEM 2023) the project has improved and a new version of the storage layer and also the DNS logic is available for FOSDEM 2024.</p>"
Algo-rollover for .nl,fosdem-2024-2835-algo-rollover-for-nl,"<p>This is a talk about the algroithm rollover which happend in the summer 2023, what were the challanges we (as SIDN) faced and how did we handle them. For the signing of the .nl zone we use the open source components <a href=""https://www.opendnssec.org/"">OpenDNSSEC</a>, <a href=""https://www.isc.org/bind/"">Bind</a> and <a href=""https://github.com/tobez/validns"">validns</a></p>"
Bootstrapping time on OpenBSD,fosdem-2024-1856-bootstrapping-time-on-openbsd,"<p>Some systems (for example cheap boards with no real time clock or servers with an empty CMOS battery) have little idea of time on startup and try to set actual time using NTP. If that also involves DNSSEC validated DNS requests, we have a bootstrap problem, since validating DNSSEC answers requires a valid idea of time. This talk discusses they way OpenBSD's NTP daemon solves this problem, providing a trustworthy time from startup.</p>"
Let's make people love domain names again,fosdem-2024-2316-let-s-make-people-love-domain-names-again,"<p>Domain names are not just web addresses; they are the lifeline of digital navigation and identity.
But how many professionals are fully conversant with the technical aspects of domains names?
There's a lot of room for doubts and errors.</p>
<p>Often neglected, <strong>zones are complex to handle</strong>. Yet, they are nonetheless crucial, helping individuals to better control their private lives on the Internet.</p>
<p>HappyDomain aims at <strong>simplifying domain management</strong>, making them accessibles for everyone. From individuals safeguarding their private lives online, to experienced system administrators overseeing vast digital landscapes.</p>
<p>You’ll learn how we try to promote a domain for everyone, with an interface finally designed for humans.</p>
<p>In 2024, what features should we expect to help us in our DNS-related tasks?</p>"
dnsconfd,fosdem-2024-2906-dnsconfd,"<p>Multiple DNS caches exist on Unix(like) systems, but only few have decent system integration. systemd-resolved has a good integration, but poor DNS protocol implementation. Advanced DNS resolvers have many good features, but each has different configuration syntax even for basic settings like forwarding. We think integration can be provided by <em>dnsconfd</em> daemon, which would provide glue between Network Manager and resolver running on localhost. Would provide unified DBus and command line interface for different cache implementations.</p>"
Opening Railways and Open Transport devroom,fosdem-2024-2601-opening-railways-and-open-transport-devroom,<p>Setting the stage for the Railways and Open Transport developer room and guiding through the programme.</p>
"Open standards, open data, open-source tools: their governance and future",fosdem-2024-1898-open-standards-open-data-open-source-tools-their-governance-and-future,"<p>For the past years, everyone has been talking about standards but how many of us can define what are standards, how they are governed and why they chose their own approach?  </p>
<p>A lot of us work with some standards or specifications but can lack of a global perspective. Taking advantage of a conference time, let’s explore how different standards and open specifications can work together to support Public Transport Authorities, Public Transport Operators, and their third parties’ daily workload. </p>
<p>In this session, experts working on MMTIS EU-standards (e.g., NeTEx, SIRI) and other open specifications (e.g., ITxPT) will reflect on: </p>
<ul>
<li>How open standards and specifications are defined in each case </li>
<li>Their governance and its impact </li>
<li>How open-source tools accelerate their uptake </li>
</ul>
<p>They will also discuss the state of their current work and share some crucial lessons learnt on:</p>
<ul>
<li>Communication and dissemination about standards </li>
<li>Promoting open data for National Access Points or other international repositories </li>
<li>Engaging an open-source community </li>
<li>Funding the common goods that are standards / open specifications </li>
<li>How to make sure different standardisation approaches benefit to the end-users and the multimodal mobility ecosystem </li>
</ul>
<p>With the format of an interactive session and open discussion, this session will feature:</p>
<ul>
<li>The Transmodel family (NeTEx, SIRI, OJP, OpRa, etc.), led by the CEN standardisation body  </li>
<li>ITxPT Specifications, led by the non-profit organisation ITxPT  </li>
<li>Open Trip Planner by Entur, the one open-source tool that combines different standards and specifications, led by a National Body (Norway)</li>
</ul>"
Rust-transit: libraries to manage transit data in rust,fosdem-2024-2202-rust-transit-libraries-to-manage-transit-data-in-rust,"<p>To build nice tools with transit data, we need nice libraries to build upon.</p>
<p>We present a small collection of libraries hosted in the https://github.com/rust-transit/ organization to manipulate transit data.</p>
<p>The main library, gtfs-structures, is a performant and flexible rust crate that parses a large variety of GTFS files and is used in production in the validator of transport.data.gouv.fr, but also in other projects like https://catenarymaps.org/.</p>
<p>Other libraries allow to manipulate realtime data in the SIRI-Lite format or to parse OpenStreetMap for simple routing tasks.</p>"
Counting on openness: Privacy-safe passenger counting,fosdem-2024-2550-counting-on-openness-privacy-safe-passenger-counting,"<p>Discover the modern architecture of <a href=""https://github.com/tvv-lippu-ja-maksujarjestelma-oy/waltti-apc"">Waltti-APC</a>, Finland's national Automatic Passenger Counting system. We have developed what we believe is the first application of differential privacy to anonymize real-time APC data, ensuring its safe use in trip planners and other passenger information systems. Additionally, we have crafted an API specification that allows new vendors to easily step into the market of onboard counting devices without prior knowledge of public transit. All open source, of course. Join us for an exploration of our data pipeline, powered by Apache Pulsar.</p>"
